IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
154.17.26.175,3283,TRUE,LAX,North America,Los Angeles,179 ms,8753 kB/s
154.17.4.180,45956,TRUE,LAX,North America,Los Angeles,168 ms,6093 kB/s
154.17.21.134,18446,TRUE,LAX,North America,Los Angeles,171 ms,5186 kB/s
154.17.4.191,35378,TRUE,LAX,North America,Los Angeles,175 ms,4313 kB/s
154.17.26.175,8443,TRUE,LAX,North America,Los Angeles,172 ms,4281 kB/s
154.17.4.180,45929,TRUE,LAX,North America,Los Angeles,171 ms,4153 kB/s
154.17.19.203,32826,TRUE,LAX,North America,Los Angeles,167 ms,1685 kB/s
136.175.179.68,443,TRUE,SJC,North America,San Jose,181 ms,1078 kB/s
65.75.193.21,37813,TRUE,SJC,North America,San Jose,179 ms,547 kB/s
65.75.195.188,50795,TRUE,SJC,North America,San Jose,188 ms,22 kB/s
4.255.56.137,443,TRUE,IAD,North America,Ashburn,291 ms,2060 kB/s
4.255.56.138,443,TRUE,IAD,North America,Ashburn,283 ms,1423 kB/s
20.240.254.247,8443,TRUE,ARN,Europe,Stockholm,298 ms,430 kB/s
20.62.202.159,443,TRUE,IAD,North America,Ashburn,281 ms,128 kB/s
20.220.204.217,443,TRUE,YYZ,North America,Toronto,250 ms,73 kB/s
52.137.60.154,443,TRUE,AMS,Europe,Amsterdam,265 ms,57 kB/s
47.237.95.146,8443,TRUE,SIN,Asia Pacific,Singapore,283 ms,6546 kB/s
47.236.180.24,2096,TRUE,SIN,Asia Pacific,Singapore,282 ms,6342 kB/s
47.237.11.182,2053,TRUE,SIN,Asia Pacific,Singapore,265 ms,6150 kB/s
47.236.146.249,2087,TRUE,SIN,Asia Pacific,Singapore,271 ms,6078 kB/s
8.219.5.10,2087,TRUE,SIN,Asia Pacific,Singapore,271 ms,5615 kB/s
47.236.80.110,2087,TRUE,SIN,Asia Pacific,Singapore,279 ms,5244 kB/s
8.219.5.10,8443,TRUE,SIN,Asia Pacific,Singapore,267 ms,5227 kB/s
47.236.104.11,2083,TRUE,SIN,Asia Pacific,Singapore,275 ms,5167 kB/s
47.236.17.193,2096,TRUE,SIN,Asia Pacific,Singapore,286 ms,4815 kB/s
47.236.117.48,2083,TRUE,SIN,Asia Pacific,Singapore,265 ms,4780 kB/s
47.236.146.249,443,TRUE,SIN,Asia Pacific,Singapore,297 ms,4771 kB/s
47.236.117.48,2087,TRUE,SIN,Asia Pacific,Singapore,280 ms,4700 kB/s
47.236.180.24,2087,TRUE,SIN,Asia Pacific,Singapore,273 ms,4699 kB/s
47.236.117.48,8443,TRUE,SIN,Asia Pacific,Singapore,283 ms,4599 kB/s
47.236.254.120,8443,TRUE,SIN,Asia Pacific,Singapore,282 ms,4587 kB/s
47.236.237.90,2087,TRUE,SIN,Asia Pacific,Singapore,295 ms,4558 kB/s
47.237.10.1,2083,TRUE,SIN,Asia Pacific,Singapore,278 ms,4532 kB/s
47.236.102.102,2083,TRUE,SIN,Asia Pacific,Singapore,278 ms,4527 kB/s
8.222.169.222,2053,TRUE,SIN,Asia Pacific,Singapore,277 ms,4480 kB/s
47.236.237.90,8443,TRUE,SIN,Asia Pacific,Singapore,286 ms,4416 kB/s
47.237.84.173,2053,TRUE,SIN,Asia Pacific,Singapore,270 ms,4409 kB/s
47.236.253.41,2083,TRUE,SIN,Asia Pacific,Singapore,288 ms,4358 kB/s
47.237.121.38,2053,TRUE,SIN,Asia Pacific,Singapore,277 ms,4307 kB/s
47.236.170.225,2053,TRUE,SIN,Asia Pacific,Singapore,287 ms,4303 kB/s
47.236.80.110,2053,TRUE,SIN,Asia Pacific,Singapore,300 ms,4271 kB/s
47.237.121.38,2087,TRUE,SIN,Asia Pacific,Singapore,267 ms,4261 kB/s
8.222.204.128,443,TRUE,SIN,Asia Pacific,Singapore,284 ms,4229 kB/s
47.236.80.110,2096,TRUE,SIN,Asia Pacific,Singapore,268 ms,4193 kB/s
47.236.145.85,2087,TRUE,SIN,Asia Pacific,Singapore,282 ms,4179 kB/s
47.237.94.140,2096,TRUE,SIN,Asia Pacific,Singapore,278 ms,4124 kB/s
47.236.145.85,8443,TRUE,SIN,Asia Pacific,Singapore,307 ms,4086 kB/s
47.237.94.140,2083,TRUE,SIN,Asia Pacific,Singapore,277 ms,4083 kB/s
47.237.92.26,2083,TRUE,SIN,Asia Pacific,Singapore,271 ms,4083 kB/s
8.219.5.10,2096,TRUE,SIN,Asia Pacific,Singapore,265 ms,4074 kB/s
